Handle,Title,10K Weight (g),14K Weight (g),18K Weight (g),Diamond Shapes,Total Diamonds,Diamond Weight (each),Total Diamond Weight,Size,Dimensions,10K Price,14K Price,18K Price,Diamond Price,Gold Price (14K),Making Charge,GST,Total Price (14K)
"the-diamond-fusion-collar-necklace","The Diamond Fusion Collar Necklace",21.584,24.14,28.4,"Oval, eme, eme, pear, Round, Round","2, 6, 5, 2, 16, 120","1.97, 1.44167, 0.558, 0.88, 0.065, 0.005","3.94, 8.650, 2.790, 1.76, 1.04, 0.6ct",,"10*7, 6.5*6.5, 6*4, 8.4*5.3, 2.5, 1",665303,738484,843099,499442,187962,29572,21509,738484
"the-empress-collar-necklace","The Empress Collar Necklace",34.77,38.8875,45.75,"Marquise, princess, pear","54, 27, 27","0.14, 0.4, 0.18","7.56, 10.8, 4.86ct",,"5*2.5, 4*4, 4*2.5",759719,877608,1046135,501619,302790,47637,25561,877608
"the-whispered-link-necklace","The Whispered Link Necklace",4.56,5.1,6,"Marquise, EMERALD","7, 7","0.2, 0.2","1.4, 1.4ct",,"6*3, 4*3",96467,111928,134030,62710,39710,6247,3260,111928
"the-cupid-drop-necklace","The Cupid Drop Necklace",21.28,23.8,28,"PEAR, PEAR","1, 54","3, 0.37","3, 19.98ct",,"12*8, 6*4",704382,776532,879675,539446,185314,29155,22617,776532
"the-diamond-cloud-necklace","The Diamond Cloud Necklace",10.989,3.3,25.546,"PEAR, Round","66, 66","0.1665","0.05ct","19.278","5*3, 2.3",321404,275217,540233,237464,25695,4043,8016,275217
"the-equinox-bar-necklace","The Equinox Bar Necklace",14.896,16.66,19.6,"EMERALD","29","0.1155","3.35ct",,"4*2.5",179932,230437,302637,73597,129720,20409,6712,230437
"whisper-chain-diamond-necklace","Whisper Chain Diamond Necklace",4.56,5.1,6,"MARQUESE, EMERALD","7, 7","0.2, 0.2","1.4, 1.4ct",,"6*3, 4*3",96467,111928,134030,62710,39710,6247,3260,111928
"the-eternal-embrace-pendant","The Eternal Embrace Pendant",1.3376,1.496,1.76,"Round","1, 20","1, 0.01","1, 0.2ct",,,39153,43760,50362,28350,11648,2487,1275,43760
"the-signature-solitaire-pendant","The Signature Solitaire Pendant",0.836,0.935,1.1,"Round","1","1","1ct",,,35421,38301,42427,28350,7280,1554,1116,38301
"the-horizontal-baguette-pendant","The Horizontal Baguette Pendant",0.304,0.34,0.4,"Baguette","1","0.31","0.31ct",,,10914,11960,13461,8400,2647,565,348,11960
